Format,RaceBox CSV,,,,,,,,,,,
Data Source,RaceBox 2231805086,,,,,,,,,,,
Date UTC,2025-10-22T19:27:56+00:00,,,,,,,,,,,
Date,22/10/2025,,,,,,,,,,,
Time,7/27/1956,,,,,,,,,,,
Session Index,1,,,,,,,,,,,
Session Type,Track,,,,,,,,,,,
Track,No Track,,,,,,,,,,,
Configuration,,,,,,,,,,,,
Laps,0,,,,,,,,,,,
Best Lap Time,207.68,,,,,,,,,,,
,,,,,,,,,,,,
Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
3059,2025-10-22T19:29:58.320Z,36.1402854,-86.7335126,537.1,20.92,-0.537,0.389,-0.509,0,-3.8,2.4,37.48
3060,2025-10-22T19:29:58.360Z,36.1402821,-86.733513,537.1,20.8,-0.521,0.3,-0.531,0,-3.55,2.05,32.8
3061,2025-10-22T19:29:58.400Z,36.1402788,-86.7335134,537.1,20.63,-0.521,0.212,-0.543,0,-3.44,1.75,28.54
3062,2025-10-22T19:29:58.440Z,36.1402755,-86.7335136,537.1,20.6,-0.526,0.108,-0.524,0,-3.36,1.3,24.43
3063,2025-10-22T19:29:58.480Z,36.1402722,-86.7335139,537.1,20.55,-0.514,-0.031,-0.468,0,-3.26,0.26,19.59
3064,2025-10-22T19:29:58.520Z,36.140269,-86.7335143,537.1,20.64,-0.462,-0.197,-0.386,0,-3.44,-0.03,13.07
3065,2025-10-22T19:29:58.560Z,36.1402656,-86.7335151,537.1,20.52,-0.431,-0.389,-0.316,0,-3.75,-0.35,5.29
3066,2025-10-22T19:29:58.600Z,36.1402625,-86.733516,537.1,20.18,-0.442,-0.565,-0.277,0,-4.01,-0.44,-3.21
3067,2025-10-22T19:29:58.640Z,36.1402592,-86.7335169,537.1,20.05,-0.458,-0.723,-0.286,0,-4.18,-0.75,-11.85
3068,2025-10-22T19:29:58.680Z,36.1402562,-86.7335181,537.1,19.97,-0.492,-0.832,-0.324,0,-4.38,-0.67,-18.62
3069,2025-10-22T19:29:58.720Z,36.1402532,-86.7335194,537.1,20.02,-0.545,-0.9,-0.378,0,-4.42,-0.98,-23.05
3070,2025-10-22T19:29:58.760Z,36.1402501,-86.7335209,537.2,20.1,-0.577,-0.937,-0.42,0,-4.43,-1.19,-25.65
3071,2025-10-22T19:29:58.800Z,36.1402472,-86.7335225,537.1,20.08,-0.578,-0.956,-0.443,0,-4.43,-1.43,-26.81
3072,2025-10-22T19:29:58.840Z,36.1402444,-86.7335243,537.1,19.95,-0.575,-0.993,-0.4,0,-3.78,-2.06,-29.6
3073,2025-10-22T19:29:58.880Z,36.1402417,-86.7335262,537.1,19.64,-0.536,-1.021,-0.27,0,-2.77,-2.97,-34.93
3074,2025-10-22T19:29:58.920Z,36.1402392,-86.7335284,537.2,19.32,-0.461,-1.04,-0.06,0,-1.62,-3.47,-42.11
3075,2025-10-22T19:29:58.960Z,36.1402367,-86.7335305,537.2,19.07,-0.374,-1.055,0.21,0,-0.57,-3.96,-50.12
3076,2025-10-22T19:29:59.000Z,36.1402343,-86.7335328,537.2,19.01,-0.321,-1.067,0.449,0,0.26,-4.01,-58.01
3077,2025-10-22T19:29:59.040Z,36.140232,-86.7335353,537.2,18.93,-0.258,-1.053,0.683,0,0.37,-3.56,-63.81
3078,2025-10-22T19:29:59.080Z,36.1402299,-86.7335379,537.1,19.01,-0.234,-1.056,0.842,0,0.08,-3.13,-67.73
3079,2025-10-22T19:29:59.120Z,36.1402276,-86.7335407,537.1,18.74,-0.231,-1.054,0.93,0,-0.3,-3.06,-70.37
3080,2025-10-22T19:29:59.160Z,36.1402259,-86.7335435,537.2,18.59,-0.281,-1.062,0.912,0,-0.36,-3.21,-71.87
3081,2025-10-22T19:29:59.200Z,36.1402241,-86.7335465,537.2,18.4,-0.28,-1.04,0.95,0,-0.19,-3.35,-72.81
3082,2025-10-22T19:29:59.240Z,36.1402225,-86.7335494,537.1,18.17,-0.3,-1.046,0.942,0,-0.39,-2.91,-73.13
3083,2025-10-22T19:29:59.280Z,36.1402209,-86.7335523,537.1,17.97,-0.305,-1.042,0.966,0,0.13,-2.14,-73.18
3084,2025-10-22T19:29:59.320Z,36.1402195,-86.7335555,537.1,17.78,-0.336,-1.058,0.974,0,0.3,-1.86,-72.89
3085,2025-10-22T19:29:59.360Z,36.1402183,-86.7335587,537.1,17.6,-0.322,-1.052,1.011,0,0.72,-1.59,-72.85
3086,2025-10-22T19:29:59.400Z,36.1402172,-86.7335619,537,17.59,-0.331,-1.047,1.001,0,1,-1.47,-72.84
3087,2025-10-22T19:29:59.440Z,36.1402163,-86.7335653,537,17.4,-0.338,-1.034,0.996,0,1.02,-1.77,-72.96
3088,2025-10-22T19:29:59.480Z,36.1402154,-86.7335686,537,17.21,-0.329,-1.016,0.977,0,0.96,-1.96,-73.08
3089,2025-10-22T19:29:59.520Z,36.140215,-86.733572,537,17.08,-0.327,-1.005,0.963,0,0.87,-2.13,-72.98
3090,2025-10-22T19:29:59.560Z,36.1402145,-86.7335754,537,16.95,-0.342,-1.019,0.949,0,0.88,-2.19,-72.65
3091,2025-10-22T19:29:59.600Z,36.1402142,-86.7335788,537,16.81,-0.343,-1.018,0.966,0,1.1,-1.69,-72.37
3092,2025-10-22T19:29:59.640Z,36.1402141,-86.7335822,537,16.76,-0.339,-1.008,0.989,0,1.47,-2.36,-72.13
3093,2025-10-22T19:29:59.680Z,36.1402141,-86.7335855,537,16.67,-0.36,-1.01,0.975,0,1.09,-3.11,-71.81
3094,2025-10-22T19:29:59.720Z,36.1402142,-86.7335888,537,16.48,-0.333,-0.982,0.993,0,1.03,-3.06,-71.72
3095,2025-10-22T19:29:59.760Z,36.1402144,-86.733592,536.9,16.34,-0.319,-0.955,0.998,0,0.64,-3.5,-71.34
3096,2025-10-22T19:29:59.800Z,36.1402148,-86.7335953,536.9,16.38,-0.316,-0.944,0.993,0,0.29,-3.31,-70.79
3097,2025-10-22T19:29:59.840Z,36.1402154,-86.7335984,536.8,16.39,-0.313,-0.941,0.982,0,-0.03,-2.91,-70.03
3098,2025-10-22T19:29:59.880Z,36.140216,-86.7336016,536.9,16.35,-0.285,-0.913,1.016,0,0.42,-2.49,-69.27
3099,2025-10-22T19:29:59.920Z,36.1402167,-86.7336047,536.9,16.41,-0.293,-0.898,0.998,0,0.57,-3.09,-68.33
3100,2025-10-22T19:29:59.960Z,36.1402176,-86.7336078,536.9,16.34,-0.28,-0.872,0.975,0,0.68,-2.94,-67.46
3101,2025-10-22T19:30:00.000Z,36.1402185,-86.7336109,536.8,16.1,-0.263,-0.84,0.938,0,0.53,-3.01,-66.66
3102,2025-10-22T19:30:00.040Z,36.1402196,-86.7336138,536.8,16.01,-0.244,-0.81,0.87,0,0.46,-3.37,-66.25
3103,2025-10-22T19:30:00.080Z,36.1402207,-86.7336166,536.8,16.15,-0.208,-0.811,0.77,0,-0.25,-3.59,-65.95
3104,2025-10-22T19:30:00.120Z,36.1402221,-86.7336195,536.8,16.51,-0.16,-0.811,0.721,0,-0.49,-2.96,-65.97
3105,2025-10-22T19:30:00.160Z,36.1402234,-86.7336226,536.8,16.94,-0.099,-0.785,0.731,0,-0.83,-2.48,-66.25
3106,2025-10-22T19:30:00.200Z,36.1402249,-86.7336252,536.8,16.79,-0.098,-0.794,0.725,0,-1.27,-2.87,-66.17
3107,2025-10-22T19:30:00.240Z,36.1402264,-86.7336279,536.8,16.59,-0.091,-0.739,0.791,0,-1.31,-2.32,-65.39
3108,2025-10-22T19:30:00.280Z,36.140228,-86.7336305,536.8,16.5,-0.075,-0.679,0.855,0,-1.41,-2.65,-63.11
3109,2025-10-22T19:30:00.320Z,36.1402296,-86.7336331,536.8,16.7,-0.086,-0.625,0.874,0,-1.53,-3.73,-59.76
3110,2025-10-22T19:30:00.360Z,36.1402314,-86.7336358,536.8,16.88,-0.115,-0.563,0.885,0,-1.57,-4.56,-55.36
3111,2025-10-22T19:30:00.400Z,36.1402332,-86.7336384,536.8,16.98,-0.091,-0.496,0.904,0,-1.24,-4.47,-50.97
3112,2025-10-22T19:30:00.440Z,36.140235,-86.7336408,536.8,16.84,-0.092,-0.478,0.87,0,-0.94,-4.31,-47.05
3113,2025-10-22T19:30:00.480Z,36.1402369,-86.7336432,536.8,16.9,-0.084,-0.45,0.879,0,-0.91,-3.57,-44.16
3114,2025-10-22T19:30:00.520Z,36.1402388,-86.7336456,536.8,16.94,-0.095,-0.445,0.903,0,-0.84,-2.2,-41.84
3115,2025-10-22T19:30:00.560Z,36.1402407,-86.733648,536.7,16.76,-0.127,-0.448,0.935,0,-0.54,-1,-40.25
3116,2025-10-22T19:30:00.600Z,36.1402426,-86.7336501,536.8,16.36,-0.167,-0.429,0.977,0,-0.98,0.05,-38.55
3117,2025-10-22T19:30:00.640Z,36.1402446,-86.7336521,536.8,16.17,-0.201,-0.424,0.993,0,-0.82,0,-37.08
3118,2025-10-22T19:30:00.680Z,36.1402465,-86.7336542,536.8,16.09,-0.254,-0.427,0.887,0,-0.6,-0.78,-35.83
3119,2025-10-22T19:30:00.720Z,36.1402486,-86.7336561,536.7,16.03,-0.216,-0.404,0.735,0,-0.47,-2.32,-35.08
3120,2025-10-22T19:30:00.760Z,36.1402507,-86.7336581,536.7,16.46,-0.115,-0.406,0.549,0,-0.36,-4.1,-34.47
3121,2025-10-22T19:30:00.800Z,36.1402529,-86.7336602,536.8,17.08,0.004,-0.426,0.339,0,-0.36,-5.38,-33.99
3122,2025-10-22T19:30:00.840Z,36.1402553,-86.7336624,536.8,17.69,0.135,-0.429,0.194,0,-0.44,-5.93,-33.56
3123,2025-10-22T19:30:00.880Z,36.1402577,-86.7336645,536.8,18.06,0.212,-0.438,0.115,0,-0.59,-5.59,-32.85
3124,2025-10-22T19:30:00.920Z,36.1402602,-86.7336664,536.8,18.19,0.238,-0.443,0.087,0,-0.22,-5.03,-32.2
3125,2025-10-22T19:30:00.960Z,36.1402628,-86.7336684,536.8,18.29,0.251,-0.426,0.088,0,-0.51,-3.89,-31.47
3126,2025-10-22T19:30:01.000Z,36.1402653,-86.7336702,536.8,18.48,0.192,-0.439,0.054,0,-0.7,-3.3,-30.74
3127,2025-10-22T19:30:01.040Z,36.1402679,-86.7336722,536.8,18.71,0.097,-0.435,-0.003,0,-0.5,-2.63,-30.21
3128,2025-10-22T19:30:01.080Z,36.1402707,-86.7336741,536.8,18.93,0.011,-0.432,-0.083,0,-0.25,-1.95,-29.54
3129,2025-10-22T19:30:01.120Z,36.1402733,-86.7336758,536.9,19.11,-0.07,-0.422,-0.187,0,-0.34,-1.4,-28.42
3130,2025-10-22T19:30:01.160Z,36.1402762,-86.7336777,536.8,19.42,-0.156,-0.411,-0.342,0,-0.18,-0.36,-27.1
3131,2025-10-22T19:30:01.200Z,36.140279,-86.7336794,536.8,19.78,-0.243,-0.399,-0.494,0,-0.12,0.82,-25.8
3132,2025-10-22T19:30:01.240Z,36.1402819,-86.7336813,536.8,20.17,-0.306,-0.404,-0.631,0,-0.38,1.13,-24.38
3133,2025-10-22T19:30:01.280Z,36.1402849,-86.733683,536.8,20.32,-0.392,-0.395,-0.725,0,-0.47,1.5,-23.2
3134,2025-10-22T19:30:01.320Z,36.1402879,-86.7336848,536.8,20.5,-0.504,-0.407,-0.795,0,-0.52,1.7,-22.17
3135,2025-10-22T19:30:01.360Z,36.140291,-86.7336867,536.8,20.85,-0.593,-0.403,-0.823,0,-0.55,0.98,-20.96
3136,2025-10-22T19:30:01.400Z,36.1402941,-86.7336884,536.8,21.06,-0.619,-0.384,-0.772,0,-0.45,0.5,-19.93
3137,2025-10-22T19:30:01.440Z,36.1402973,-86.7336901,536.8,21.23,-0.652,-0.359,-0.7,0,-0.48,0.52,-18.92
3138,2025-10-22T19:30:01.480Z,36.1403006,-86.7336918,536.8,21.41,-0.679,-0.333,-0.654,0,-0.93,0.06,-17.91
3139,2025-10-22T19:30:01.520Z,36.1403038,-86.7336935,536.8,21.85,-0.69,-0.314,-0.61,0,-1.26,0,-16.92
3140,2025-10-22T19:30:01.560Z,36.1403073,-86.7336952,536.8,22.31,-0.715,-0.302,-0.555,0,-1.2,0.37,-16.01
3141,2025-10-22T19:30:01.600Z,36.1403106,-86.7336971,536.8,22.8,-0.794,-0.305,-0.545,0,-1.15,0.87,-15.19
3142,2025-10-22T19:30:01.640Z,36.1403142,-86.7336987,536.7,23.21,-0.808,-0.311,-0.528,0,-1.05,1.38,-14.61
3143,2025-10-22T19:30:01.680Z,36.1403178,-86.7337004,536.7,23.52,-0.766,-0.324,-0.454,0,-0.97,2.62,-14.54
3144,2025-10-22T19:30:01.720Z,36.1403214,-86.7337021,536.7,23.67,-0.765,-0.372,-0.41,0,-1.03,2.86,-15.12
3145,2025-10-22T19:30:01.760Z,36.1403251,-86.7337035,536.7,24.02,-0.745,-0.431,-0.403,0,-1.07,2.59,-16.28
3146,2025-10-22T19:30:01.800Z,36.1403289,-86.733705,536.6,24.29,-0.663,-0.467,-0.368,0,-0.79,2.47,-17.78
3147,2025-10-22T19:30:01.840Z,36.1403328,-86.7337064,536.6,24.55,-0.649,-0.516,-0.4,0,-0.57,2.37,-19.26
3148,2025-10-22T19:30:01.880Z,36.1403367,-86.7337078,536.6,24.98,-0.648,-0.552,-0.44,0,-0.16,2.42,-20.81
3149,2025-10-22T19:30:01.920Z,36.1403407,-86.733709,536.5,25.46,-0.567,-0.553,-0.452,0,-0.13,2.88,-22.52
3150,2025-10-22T19:30:01.960Z,36.1403449,-86.7337102,536.5,25.63,-0.569,-0.587,-0.509,0,-0.1,4.09,-24.1
3151,2025-10-22T19:30:02.000Z,36.1403489,-86.7337114,536.4,25.82,-0.553,-0.614,-0.551,0,-0.44,5.7,-25.65
3152,2025-10-22T19:30:02.040Z,36.140353,-86.7337124,536.4,26.12,-0.509,-0.638,-0.57,0,-0.87,6.93,-27.2
3153,2025-10-22T19:30:02.080Z,36.1403573,-86.7337133,536.4,26.14,-0.468,-0.67,-0.652,0,-1.42,7.18,-28.3
3154,2025-10-22T19:30:02.120Z,36.1403614,-86.733714,536.4,26.13,-0.44,-0.707,-0.755,0,-1.85,6.06,-29
3155,2025-10-22T19:30:02.160Z,36.1403656,-86.7337147,536.4,26.31,-0.367,-0.709,-0.79,0,-2.45,5.17,-29.52
3156,2025-10-22T19:30:02.200Z,36.1403698,-86.7337153,536.3,26.46,-0.317,-0.731,-0.833,0,-2.85,3.69,-29.73
3157,2025-10-22T19:30:02.240Z,36.1403741,-86.7337159,536.3,26.47,-0.251,-0.75,-0.858,0,-2.89,1.89,-29.85
3158,2025-10-22T19:30:02.280Z,36.1403783,-86.7337161,536.3,26.38,-0.197,-0.763,-0.798,0,-2.89,1.05,-30.26
3159,2025-10-22T19:30:02.320Z,36.1403827,-86.7337162,536.2,26.38,-0.123,-0.783,-0.737,0,-2.44,1.87,-30.54
3160,2025-10-22T19:30:02.360Z,36.1403868,-86.7337163,536.2,26.3,-0.15,-0.808,-0.722,0,-1.6,2.24,-31.17
3161,2025-10-22T19:30:02.400Z,36.140391,-86.7337162,536.2,26.22,-0.207,-0.844,-0.628,0,-1.24,3,-32.11
3162,2025-10-22T19:30:02.440Z,36.1403953,-86.7337161,536.2,25.92,-0.351,-0.889,-0.565,0,-0.74,2.96,-33.86
3163,2025-10-22T19:30:02.480Z,36.1403993,-86.7337157,536.1,25.53,-0.473,-0.925,-0.458,0,-0.02,2.25,-36.29
3164,2025-10-22T19:30:02.520Z,36.1404033,-86.7337151,536.2,25.22,-0.658,-0.939,-0.397,0,0,0.16,-38.85
3165,2025-10-22T19:30:02.560Z,36.1404072,-86.7337144,536.2,24.91,-0.728,-0.932,-0.317,0,0.1,-1.97,-41.14
3166,2025-10-22T19:30:02.600Z,36.1404111,-86.7337134,536.2,24.62,-0.794,-0.899,-0.3,0,0.39,-3.6,-42.87
3167,2025-10-22T19:30:02.640Z,36.1404149,-86.7337127,536.2,24.29,-0.86,-0.859,-0.332,0,0.34,-3.65,-43.6
3168,2025-10-22T19:30:02.680Z,36.1404185,-86.7337117,536.2,23.92,-0.908,-0.809,-0.379,0,0.62,-2.64,-43.47
3169,2025-10-22T19:30:02.720Z,36.1404221,-86.7337107,536.2,23.45,-0.956,-0.795,-0.366,0,0.34,-1.07,-43.28
3170,2025-10-22T19:30:02.760Z,36.1404256,-86.7337096,536.2,22.76,-1.027,-0.811,-0.377,0,-0.18,0.26,-43.39
3171,2025-10-22T19:30:02.800Z,36.1404289,-86.7337083,536.2,22.09,-1.042,-0.849,-0.308,0,-0.72,0.4,-44.3
3172,2025-10-22T19:30:02.840Z,36.1404319,-86.7337067,536.2,21.43,-1.007,-0.852,-0.142,0,-0.55,-0.89,-46.17
3173,2025-10-22T19:30:02.880Z,36.1404349,-86.7337051,536.2,20.94,-0.96,-0.828,0.032,0,-0.48,-2.96,-48.21
3174,2025-10-22T19:30:02.920Z,36.1404379,-86.7337036,536.2,20.31,-0.87,-0.731,0.242,0,0.2,-4.41,-48.89
3175,2025-10-22T19:30:02.960Z,36.1404407,-86.7337021,536.2,19.59,-0.811,-0.672,0.478,0,0.01,-4.91,-48.01
3176,2025-10-22T19:30:03.000Z,36.1404435,-86.7337007,536.2,18.94,-0.773,-0.656,0.682,0,-0.03,-5.74,-46.16
3177,2025-10-22T19:30:03.040Z,36.1404461,-86.7336991,536.2,18.37,-0.704,-0.683,0.845,0,-0.97,-5.74,-43.71
3178,2025-10-22T19:30:03.080Z,36.1404483,-86.7336972,536.3,18,-0.622,-0.76,0.948,0,-1.75,-5.83,-41.59
3179,2025-10-22T19:30:03.120Z,36.1404507,-86.7336952,536.3,17.79,-0.533,-0.854,0.986,0,-2.28,-5.85,-40.57
3180,2025-10-22T19:30:03.160Z,36.1404529,-86.7336931,536.3,17.84,-0.42,-0.912,0.987,0,-2.14,-5.86,-40.6
3181,2025-10-22T19:30:03.200Z,36.1404551,-86.7336909,536.3,17.79,-0.321,-0.95,0.972,0,-2.22,-4.88,-41.24
3182,2025-10-22T19:30:03.240Z,36.1404573,-86.7336885,536.3,17.57,-0.276,-0.994,0.959,0,-1.8,-3.82,-42.93
3183,2025-10-22T19:30:03.280Z,36.1404592,-86.733686,536.3,17.42,-0.262,-1.013,0.976,0,-1.71,-2.77,-45.53
3184,2025-10-22T19:30:03.320Z,36.140461,-86.7336834,536.2,17.22,-0.269,-1.031,0.981,0,-1.5,-2.02,-48.94
3185,2025-10-22T19:30:03.360Z,36.1404627,-86.7336808,536.3,17.06,-0.283,-1.034,1,0,-1.45,-1.74,-52.81
3186,2025-10-22T19:30:03.400Z,36.1404643,-86.7336781,536.3,16.94,-0.283,-1.026,1.009,0,-1.2,-1.89,-56.79
3187,2025-10-22T19:30:03.440Z,36.1404657,-86.7336753,536.3,16.8,-0.296,-0.97,0.928,0,-0.72,-2.24,-59.93
3188,2025-10-22T19:30:03.480Z,36.1404671,-86.7336723,536.2,16.69,-0.281,-0.838,0.76,0,0.26,-2.63,-61.28
3189,2025-10-22T19:30:03.520Z,36.1404684,-86.7336695,536.3,16.73,-0.22,-0.694,0.581,0,0.87,-3.09,-60.15
3190,2025-10-22T19:30:03.560Z,36.1404698,-86.7336666,536.3,17.06,-0.145,-0.542,0.417,0,1.85,-3.59,-56.59
3191,2025-10-22T19:30:03.600Z,36.1404714,-86.7336636,536.3,17.66,-0.08,-0.355,0.332,0,2.21,-3.3,-50.54
3192,2025-10-22T19:30:03.640Z,36.1404729,-86.7336606,536.2,17.85,0.007,-0.227,0.414,0,2.07,-2.74,-42.95
3193,2025-10-22T19:30:03.680Z,36.1404744,-86.7336577,536.3,17.51,0.045,-0.132,0.516,0,2.18,-1.47,-34.74
3194,2025-10-22T19:30:03.720Z,36.1404758,-86.7336548,536.3,17.32,0.069,-0.005,0.584,0,2.23,-1.26,-26.62
3195,2025-10-22T19:30:03.760Z,36.1404773,-86.7336518,536.3,17.46,0.085,0.122,0.602,0,2.53,0.22,-18.57
3196,2025-10-22T19:30:03.800Z,36.1404789,-86.7336489,536.3,17.83,0.071,0.234,0.534,0,3.31,0.56,-10.7
3197,2025-10-22T19:30:03.840Z,36.1404806,-86.7336459,536.3,18.14,0.087,0.399,0.458,0,4.23,0.85,-2.97
3198,2025-10-22T19:30:03.880Z,36.1404825,-86.7336431,536.3,18.22,0.108,0.512,0.352,0,4.37,1.7,4.91
3199,2025-10-22T19:30:03.920Z,36.1404845,-86.7336404,536.3,18.3,0.091,0.594,0.254,0,4.89,2.79,12.37
3200,2025-10-22T19:30:03.960Z,36.1404866,-86.7336376,536.3,18.45,0.064,0.717,0.199,0,5.24,3.62,20.07
3201,2025-10-22T19:30:04.000Z,36.1404887,-86.7336352,536.3,18.59,0.021,0.843,0.191,0,5.3,5.01,28.05
3202,2025-10-22T19:30:04.040Z,36.140491,-86.7336328,536.3,18.37,-0.059,0.936,0.14,0,4.98,6.11,36.26
3203,2025-10-22T19:30:04.080Z,36.1404934,-86.7336307,536.3,18.27,-0.193,1.016,0.062,0,4.52,5.97,43.84
3204,2025-10-22T19:30:04.120Z,36.1404959,-86.7336285,536.3,18.39,-0.339,1.048,-0.082,0,3.33,5.49,50.93
3205,2025-10-22T19:30:04.160Z,36.1404984,-86.7336266,536.3,18.43,-0.503,1.041,-0.256,0,1.77,4.37,56.23
3206,2025-10-22T19:30:04.200Z,36.1405012,-86.7336247,536.4,18.54,-0.626,1.003,-0.439,0,0,3.16,60.22
3207,2025-10-22T19:30:04.240Z,36.1405038,-86.733623,536.4,18.67,-0.728,0.948,-0.605,0,-1.42,1.98,62.96
3208,2025-10-22T19:30:04.280Z,36.1405067,-86.7336214,536.4,18.85,-0.79,0.889,-0.719,0,-2.26,1.65,64.32
3209,2025-10-22T19:30:04.320Z,36.1405095,-86.7336198,536.3,19.13,-0.789,0.875,-0.702,0,-2.19,2.09,64.46
3210,2025-10-22T19:30:04.360Z,36.1405125,-86.7336183,536.3,19.28,-0.726,0.876,-0.646,0,-2.23,2.62,63.98
3211,2025-10-22T19:30:04.400Z,36.1405155,-86.7336171,536.3,19.12,-0.655,0.889,-0.558,0,-1.92,3.49,62.62
3212,2025-10-22T19:30:04.440Z,36.1405185,-86.7336161,536.3,19.06,-0.59,0.898,-0.501,0,-1.83,4.9,60.88
3213,2025-10-22T19:30:04.480Z,36.1405215,-86.7336151,536.3,18.99,-0.547,0.818,-0.491,0,-2.17,5.01,58.85
3214,2025-10-22T19:30:04.520Z,36.1405246,-86.7336144,536.3,19.08,-0.527,0.683,-0.571,0,-2.41,4.42,55.73
3215,2025-10-22T19:30:04.560Z,36.1405277,-86.7336134,536.3,19.45,-0.553,0.527,-0.663,0,-2.76,4.04,51.33
3216,2025-10-22T19:30:04.600Z,36.1405308,-86.7336124,536.3,19.74,-0.557,0.347,-0.711,0,-2.86,2.81,45.68
3217,2025-10-22T19:30:04.640Z,36.1405341,-86.7336115,536.3,19.99,-0.561,0.238,-0.721,0,-2.57,1.71,38.89
3218,2025-10-22T19:30:04.680Z,36.1405372,-86.7336106,536.3,20.03,-0.469,0.167,-0.613,0,-3.01,1.87,32.04
3219,2025-10-22T19:30:04.720Z,36.1405403,-86.7336098,536.3,19.92,-0.43,0.096,-0.548,0,-3.35,2.51,26.16
3220,2025-10-22T19:30:04.760Z,36.1405435,-86.7336089,536.3,20.1,-0.41,0.056,-0.547,0,-3.26,2.57,21.26
3221,2025-10-22T19:30:04.800Z,36.1405468,-86.7336081,536.3,20.25,-0.419,0.022,-0.598,0,-3.38,2.52,17.49
3222,2025-10-22T19:30:04.840Z,36.14055,-86.7336072,536.3,20.34,-0.462,-0.071,-0.659,0,-3.73,2.43,14.26
3223,2025-10-22T19:30:04.880Z,36.1405532,-86.7336064,536.3,20.54,-0.573,-0.159,-0.774,0,-3.75,1.72,10.45
3224,2025-10-22T19:30:04.920Z,36.1405565,-86.7336053,536.3,20.77,-0.624,-0.271,-0.785,0,-4.23,1.29,5.38
3225,2025-10-22T19:30:04.960Z,36.1405597,-86.7336041,536.3,20.87,-0.619,-0.422,-0.732,0,-4.58,1.25,-0.78
3226,2025-10-22T19:30:05.000Z,36.1405629,-86.7336029,536.3,20.81,-0.626,-0.551,-0.673,0,-4.77,0.9,-7.17
3227,2025-10-22T19:30:05.040Z,36.140566,-86.7336015,536.3,20.76,-0.616,-0.651,-0.611,0,-4.7,0.16,-13.52
3228,2025-10-22T19:30:05.080Z,36.1405691,-86.7336,536.4,20.88,-0.606,-0.761,-0.556,0,-4.34,-0.44,-19.83
3229,2025-10-22T19:30:05.120Z,36.1405723,-86.7335984,536.4,21.04,-0.661,-0.849,-0.574,0,-3.74,-1.1,-25.37
3230,2025-10-22T19:30:05.160Z,36.1405754,-86.7335965,536.4,21.09,-0.735,-0.929,-0.57,0,-3.09,-1.37,-30.81
3231,2025-10-22T19:30:05.200Z,36.1405782,-86.7335945,536.5,21.16,-0.813,-1.034,-0.559,0,-2.38,-1.49,-36.47
3232,2025-10-22T19:30:05.240Z,36.1405812,-86.7335923,536.4,21.27,-0.918,-1.09,-0.577,0,-1.44,-2.34,-42.2
3233,2025-10-22T19:30:05.280Z,36.140584,-86.7335899,536.4,21.03,-1.013,-1.108,-0.601,0,-1.07,-3.34,-47.23
3234,2025-10-22T19:30:05.320Z,36.1405866,-86.7335875,536.5,20.9,-1.046,-1.11,-0.591,0,-0.51,-4.16,-51.68
3235,2025-10-22T19:30:05.360Z,36.1405894,-86.7335849,536.5,21.15,-1.063,-1.076,-0.623,0,-0.19,-4.86,-54.81
3236,2025-10-22T19:30:05.400Z,36.140592,-86.7335821,536.5,21.35,-1.018,-1.051,-0.594,0,-0.33,-4.32,-57.01
3237,2025-10-22T19:30:05.440Z,36.1405945,-86.7335792,536.5,21.32,-0.955,-1.067,-0.536,0,-0.52,-3.28,-58.39
3238,2025-10-22T19:30:05.480Z,36.140597,-86.7335763,536.5,21.24,-0.905,-1.103,-0.459,0,-0.6,-2.34,-59.49
3239,2025-10-22T19:30:05.520Z,36.1405994,-86.7335731,536.5,21.26,-0.865,-1.148,-0.36,0,-0.81,-1.98,-60.89
3240,2025-10-22T19:30:05.560Z,36.1406015,-86.7335698,536.5,21.3,-0.873,-1.17,-0.301,0,-0.43,-2.37,-62.4
3241,2025-10-22T19:30:05.600Z,36.1406035,-86.7335664,536.5,21.26,-0.9,-1.135,-0.3,0,-0.08,-3.74,-63.73
3242,2025-10-22T19:30:05.640Z,36.1406056,-86.7335629,536.5,21.24,-0.922,-1.024,-0.312,0,0.73,-4.98,-63.95
3243,2025-10-22T19:30:05.680Z,36.1406076,-86.7335595,536.5,21.37,-0.944,-0.834,-0.382,0,1.42,-6,-61.57
3244,2025-10-22T19:30:05.720Z,36.1406096,-86.7335559,536.5,21.74,-0.941,-0.639,-0.432,0,2.16,-5.66,-54.94
3245,2025-10-22T19:30:05.760Z,36.1406119,-86.7335524,536.5,22.12,-0.948,-0.428,-0.452,0,2.99,-5.01,-45.25
3246,2025-10-22T19:30:05.800Z,36.1406139,-86.7335488,536.5,22.19,-1.027,-0.231,-0.525,0,3.68,-4.24,-33.38
3247,2025-10-22T19:30:05.840Z,36.140616,-86.7335454,536.6,21.91,-1.077,-0.073,-0.598,0,4.06,-3.74,-21.29
3248,2025-10-22T19:30:05.880Z,36.1406181,-86.733542,536.6,21.71,-1.068,0.046,-0.604,0,4.26,-3.49,-10.61
3249,2025-10-22T19:30:05.920Z,36.1406204,-86.7335387,536.7,21.7,-1.045,0.178,-0.635,0,3.99,-4.12,-2.35
3250,2025-10-22T19:30:05.960Z,36.1406227,-86.7335354,536.8,21.93,-0.988,0.286,-0.674,0,3.22,-4.02,4.55
